instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,casual,registered,cnt
47,2/16/2011,1,0,2,0,3,1,1,218,1897,2115
48,2/17/2011,1,0,2,0,4,1,1,259,2216,2475
49,2/18/2011,1,0,2,0,5,1,1,579,2348,2927
50,2/19/2011,1,0,2,0,6,0,1,532,1103,1635
51,2/20/2011,1,0,2,0,0,0,1,639,1173,1812
52,2/21/2011,1,0,2,1,1,0,2,195,912,1107
53,2/22/2011,1,0,2,0,2,1,1,74,1376,1450
54,2/23/2011,1,0,2,0,3,1,1,139,1778,1917
55,2/24/2011,1,0,2,0,4,1,2,100,1707,1807
56,2/25/2011,1,0,2,0,5,1,2,120,1341,1461
57,2/26/2011,1,0,2,0,6,0,1,424,1545,1969
58,2/27/2011,1,0,2,0,0,0,1,694,1708,2402
59,2/28/2011,1,0,2,0,1,1,2,81,1365,1446
60,3/1/2011,1,0,3,0,2,1,1,137,1714,1851
61,3/2/2011,1,0,3,0,3,1,1,231,1903,2134
62,3/3/2011,1,0,3,0,4,1,1,123,1562,1685
63,3/4/2011,1,0,3,0,5,1,2,214,1730,1944
64,3/5/2011,1,0,3,0,6,0,2,640,1437,2077
65,3/6/2011,1,0,3,0,0,0,2,114,491,605
66,3/7/2011,1,0,3,0,1,1,1,244,1628,1872
67,3/8/2011,1,0,3,0,2,1,1,316,1817,2133
68,3/9/2011,1,0,3,0,3,1,2,191,1700,1891
69,3/10/2011,1,0,3,0,4,1,3,46,577,623
70,3/11/2011,1,0,3,0,5,1,2,247,1730,1977
71,3/12/2011,1,0,3,0,6,0,1,724,1408,2132
72,3/13/2011,1,0,3,0,0,0,1,982,1435,2417
73,3/14/2011,1,0,3,0,1,1,1,359,1687,2046
74,3/15/2011,1,0,3,0,2,1,2,289,1767,2056
75,3/16/2011,1,0,3,0,3,1,2,321,1871,2192
76,3/17/2011,1,0,3,0,4,1,1,424,2320,2744
77,3/18/2011,1,0,3,0,5,1,1,884,2355,3239
78,3/19/2011,1,0,3,0,6,0,1,1424,1693,3117
79,3/20/2011,1,0,3,0,0,0,1,1047,1424,2471
80,3/21/2011,2,0,3,0,1,1,2,401,1676,2077
81,3/22/2011,2,0,3,0,2,1,1,460,2243,2703
82,3/23/2011,2,0,3,0,3,1,2,203,1918,2121
83,3/24/2011,2,0,3,0,4,1,2,166,1699,1865
84,3/25/2011,2,0,3,0,5,1,1,300,1910,2210
85,3/26/2011,2,0,3,0,6,0,1,981,1515,2496
86,3/27/2011,2,0,3,0,0,0,2,472,1221,1693
87,3/28/2011,2,0,3,0,1,1,1,222,1806,2028
88,3/29/2011,2,0,3,0,2,1,1,317,2108,2425
89,3/30/2011,2,0,3,0,3,1,2,168,1368,1536
90,3/31/2011,2,0,3,0,4,1,3,179,1506,1685
91,4/1/2011,2,0,4,0,5,1,2,307,1920,2227
92,4/2/2011,2,0,4,0,6,0,2,898,1354,2252
93,4/3/2011,2,0,4,0,0,0,1,1651,1598,3249
94,4/4/2011,2,0,4,0,1,1,1,734,2381,3115
95,4/5/2011,2,0,4,0,2,1,2,167,1628,1795
96,4/6/2011,2,0,4,0,3,1,1,413,2395,2808
97,4/7/2011,2,0,4,0,4,1,1,571,2570,3141
98,4/8/2011,2,0,4,0,5,1,2,172,1299,1471
99,4/9/2011,2,0,4,0,6,0,2,879,1576,2455
100,4/10/2011,2,0,4,0,0,0,2,1188,1707,2895
101,4/11/2011,2,0,4,0,1,1,2,855,2493,3348
102,4/12/2011,2,0,4,0,2,1,2,257,1777,2034
103,4/13/2011,2,0,4,0,3,1,2,209,1953,2162
104,4/14/2011,2,0,4,0,4,1,1,529,2738,3267
105,4/15/2011,2,0,4,1,5,0,1,642,2484,3126
106,4/16/2011,2,0,4,0,6,0,3,121,674,795
107,4/17/2011,2,0,4,0,0,0,1,1558,2186,3744
108,4/18/2011,2,0,4,0,1,1,1,669,2760,3429
109,4/19/2011,2,0,4,0,2,1,2,409,2795,3204
110,4/20/2011,2,0,4,0,3,1,1,613,3331,3944
111,4/21/2011,2,0,4,0,4,1,1,745,3444,4189
112,4/22/2011,2,0,4,0,5,1,2,177,1506,1683
113,4/23/2011,2,0,4,0,6,0,2,1462,2574,4036
114,4/24/2011,2,0,4,0,0,0,2,1710,2481,4191
115,4/25/2011,2,0,4,0,1,1,1,773,3300,4073
116,4/26/2011,2,0,4,0,2,1,1,678,3722,4400
117,4/27/2011,2,0,4,0,3,1,2,547,3325,3872
118,4/28/2011,2,0,4,0,4,1,2,569,3489,4058
119,4/29/2011,2,0,4,0,5,1,1,878,3717,4595
120,4/30/2011,2,0,4,0,6,0,1,1965,3347,5312
121,5/1/2011,2,0,5,0,0,0,2,1138,2213,3351
122,5/2/2011,2,0,5,0,1,1,2,847,3554,4401
123,5/3/2011,2,0,5,0,2,1,2,603,3848,4451
124,5/4/2011,2,0,5,0,3,1,2,255,2378,2633
125,5/5/2011,2,0,5,0,4,1,1,614,3819,4433
126,5/6/2011,2,0,5,0,5,1,1,894,3714,4608
127,5/7/2011,2,0,5,0,6,0,1,1612,3102,4714
128,5/8/2011,2,0,5,0,0,0,1,1401,2932,4333
129,5/9/2011,2,0,5,0,1,1,1,664,3698,4362
130,5/10/2011,2,0,5,0,2,1,1,694,4109,4803
131,5/11/2011,2,0,5,0,3,1,1,550,3632,4182
132,5/12/2011,2,0,5,0,4,1,1,695,4169,4864
133,5/13/2011,2,0,5,0,5,1,2,692,3413,4105
134,5/14/2011,2,0,5,0,6,0,2,902,2507,3409
135,5/15/2011,2,0,5,0,0,0,2,1582,2971,4553
136,5/16/2011,2,0,5,0,1,1,1,773,3185,3958
137,5/17/2011,2,0,5,0,2,1,2,678,3445,4123
138,5/18/2011,2,0,5,0,3,1,2,536,3319,3855
139,5/19/2011,2,0,5,0,4,1,2,735,3840,4575
140,5/20/2011,2,0,5,0,5,1,1,909,4008,4917
141,5/21/2011,2,0,5,0,6,0,1,2258,3547,5805
142,5/22/2011,2,0,5,0,0,0,1,1576,3084,4660
143,5/23/2011,2,0,5,0,1,1,2,836,3438,4274
144,5/24/2011,2,0,5,0,2,1,2,659,3833,4492
145,5/25/2011,2,0,5,0,3,1,1,740,4238,4978
146,5/26/2011,2,0,5,0,4,1,1,758,3919,4677
147,5/27/2011,2,0,5,0,5,1,1,871,3808,4679
148,5/28/2011,2,0,5,0,6,0,1,2001,2757,4758
149,5/29/2011,2,0,5,0,0,0,1,2355,2433,4788
150,5/30/2011,2,0,5,1,1,0,1,1549,2549,4098
151,5/31/2011,2,0,5,0,2,1,1,673,3309,3982
152,6/1/2011,2,0,6,0,3,1,2,513,3461,3974
153,6/2/2011,2,0,6,0,4,1,1,736,4232,4968
154,6/3/2011,2,0,6,0,5,1,1,898,4414,5312
155,6/4/2011,2,0,6,0,6,0,1,1869,3473,5342
156,6/5/2011,2,0,6,0,0,0,2,1685,3221,4906
157,6/6/2011,2,0,6,0,1,1,1,673,3875,4548
158,6/7/2011,2,0,6,0,2,1,1,763,4070,4833
159,6/8/2011,2,0,6,0,3,1,1,676,3725,4401
160,6/9/2011,2,0,6,0,4,1,2,563,3352,3915
161,6/10/2011,2,0,6,0,5,1,1,815,3771,4586
162,6/11/2011,2,0,6,0,6,0,1,1729,3237,4966
163,6/12/2011,2,0,6,0,0,0,1,1467,2993,4460
164,6/13/2011,2,0,6,0,1,1,1,863,4157,5020
165,6/14/2011,2,0,6,0,2,1,1,727,4164,4891
166,6/15/2011,2,0,6,0,3,1,1,769,4411,5180
167,6/16/2011,2,0,6,0,4,1,2,545,3222,3767
168,6/17/2011,2,0,6,0,5,1,1,863,3981,4844
169,6/18/2011,2,0,6,0,6,0,1,1807,3312,5119
170,6/19/2011,2,0,6,0,0,0,2,1639,3105,4744
171,6/20/2011,2,0,6,0,1,1,2,699,3311,4010
172,6/21/2011,3,0,6,0,2,1,2,774,4061,4835
173,6/22/2011,3,0,6,0,3,1,1,661,3846,4507
174,6/23/2011,3,0,6,0,4,1,2,746,4044,4790
175,6/24/2011,3,0,6,0,5,1,1,969,4022,4991
176,6/25/2011,3,0,6,0,6,0,1,1782,3420,5202
177,6/26/2011,3,0,6,0,0,0,1,1920,3385,5305
178,6/27/2011,3,0,6,0,1,1,2,854,3854,4708
179,6/28/2011,3,0,6,0,2,1,1,732,3916,4648
180,6/29/2011,3,0,6,0,3,1,1,848,4377,5225
181,6/30/2011,3,0,6,0,4,1,1,1027,4488,5515
182,7/1/2011,3,0,7,0,5,1,1,1246,4116,5362
183,7/2/2011,3,0,7,0,6,0,1,2204,2915,5119
184,7/3/2011,3,0,7,0,0,0,2,2282,2367,4649
185,7/4/2011,3,0,7,1,1,0,2,3065,2978,6043
186,7/5/2011,3,0,7,0,2,1,1,1031,3634,4665
187,7/6/2011,3,0,7,0,3,1,1,784,3845,4629
188,7/7/2011,3,0,7,0,4,1,1,754,3838,4592
189,7/8/2011,3,0,7,0,5,1,2,692,3348,4040
190,7/9/2011,3,0,7,0,6,0,1,1988,3348,5336
191,7/10/2011,3,0,7,0,0,0,1,1743,3138,4881
192,7/11/2011,3,0,7,0,1,1,1,723,3363,4086
193,7/12/2011,3,0,7,0,2,1,1,662,3596,4258
194,7/13/2011,3,0,7,0,3,1,1,748,3594,4342
195,7/14/2011,3,0,7,0,4,1,1,888,4196,5084
196,7/15/2011,3,0,7,0,5,1,1,1318,4220,5538
197,7/16/2011,3,0,7,0,6,0,1,2418,3505,5923
198,7/17/2011,3,0,7,0,0,0,1,2006,3296,5302
199,7/18/2011,3,0,7,0,1,1,1,841,3617,4458
200,7/19/2011,3,0,7,0,2,1,1,752,3789,4541
201,7/20/2011,3,0,7,0,3,1,1,644,3688,4332
202,7/21/2011,3,0,7,0,4,1,2,632,3152,3784
203,7/22/2011,3,0,7,0,5,1,1,562,2825,3387
204,7/23/2011,3,0,7,0,6,0,1,987,2298,3285
205,7/24/2011,3,0,7,0,0,0,1,1050,2556,3606
206,7/25/2011,3,0,7,0,1,1,1,568,3272,3840
207,7/26/2011,3,0,7,0,2,1,1,750,3840,4590
208,7/27/2011,3,0,7,0,3,1,1,755,3901,4656
209,7/28/2011,3,0,7,0,4,1,1,606,3784,4390
210,7/29/2011,3,0,7,0,5,1,1,670,3176,3846
211,7/30/2011,3,0,7,0,6,0,1,1559,2916,4475
212,7/31/2011,3,0,7,0,0,0,1,1524,2778,4302
213,8/1/2011,3,0,8,0,1,1,1,729,3537,4266
214,8/2/2011,3,0,8,0,2,1,1,801,4044,4845
215,8/3/2011,3,0,8,0,3,1,2,467,3107,3574
216,8/4/2011,3,0,8,0,4,1,2,799,3777,4576
217,8/5/2011,3,0,8,0,5,1,1,1023,3843,4866
218,8/6/2011,3,0,8,0,6,0,2,1521,2773,4294
219,8/7/2011,3,0,8,0,0,0,1,1298,2487,3785
220,8/8/2011,3,0,8,0,1,1,1,846,3480,4326
221,8/9/2011,3,0,8,0,2,1,1,907,3695,4602
222,8/10/2011,3,0,8,0,3,1,1,884,3896,4780
223,8/11/2011,3,0,8,0,4,1,1,812,3980,4792
224,8/12/2011,3,0,8,0,5,1,1,1051,3854,4905
225,8/13/2011,3,0,8,0,6,0,2,1504,2646,4150
226,8/14/2011,3,0,8,0,0,0,2,1338,2482,3820
227,8/15/2011,3,0,8,0,1,1,1,775,3563,4338
228,8/16/2011,3,0,8,0,2,1,1,721,4004,4725
229,8/17/2011,3,0,8,0,3,1,1,668,4026,4694
230,8/18/2011,3,0,8,0,4,1,1,639,3166,3805
231,8/19/2011,3,0,8,0,5,1,2,797,3356,4153
232,8/20/2011,3,0,8,0,6,0,1,1914,3277,5191
233,8/21/2011,3,0,8,0,0,0,1,1249,2624,3873
234,8/22/2011,3,0,8,0,1,1,1,833,3925,4758
235,8/23/2011,3,0,8,0,2,1,1,1281,4614,5895
236,8/24/2011,3,0,8,0,3,1,1,949,4181,5130
237,8/25/2011,3,0,8,0,4,1,2,435,3107,3542
238,8/26/2011,3,0,8,0,5,1,1,768,3893,4661
239,8/27/2011,3,0,8,0,6,0,2,226,889,1115
240,8/28/2011,3,0,8,0,0,0,1,1415,2919,4334
241,8/29/2011,3,0,8,0,1,1,1,729,3905,4634
242,8/30/2011,3,0,8,0,2,1,1,775,4429,5204
243,8/31/2011,3,0,8,0,3,1,1,688,4370,5058
244,9/1/2011,3,0,9,0,4,1,1,783,4332,5115
245,9/2/2011,3,0,9,0,5,1,2,875,3852,4727
246,9/3/2011,3,0,9,0,6,0,1,1935,2549,4484
247,9/4/2011,3,0,9,0,0,0,1,2521,2419,4940
248,9/5/2011,3,0,9,1,1,0,2,1236,2115,3351
249,9/6/2011,3,0,9,0,2,1,3,204,2506,2710
250,9/7/2011,3,0,9,0,3,1,3,118,1878,1996
251,9/8/2011,3,0,9,0,4,1,3,153,1689,1842
252,9/9/2011,3,0,9,0,5,1,2,417,3127,3544
253,9/10/2011,3,0,9,0,6,0,1,1750,3595,5345
254,9/11/2011,3,0,9,0,0,0,1,1633,3413,5046
255,9/12/2011,3,0,9,0,1,1,1,690,4023,4713
256,9/13/2011,3,0,9,0,2,1,1,701,4062,4763
257,9/14/2011,3,0,9,0,3,1,1,647,4138,4785
258,9/15/2011,3,0,9,0,4,1,2,428,3231,3659
259,9/16/2011,3,0,9,0,5,1,2,742,4018,4760
260,9/17/2011,3,0,9,0,6,0,2,1434,3077,4511
261,9/18/2011,3,0,9,0,0,0,1,1353,2921,4274
262,9/19/2011,3,0,9,0,1,1,2,691,3848,4539
263,9/20/2011,3,0,9,0,2,1,2,438,3203,3641
264,9/21/2011,3,0,9,0,3,1,2,539,3813,4352
265,9/22/2011,3,0,9,0,4,1,2,555,4240,4795
266,9/23/2011,4,0,9,0,5,1,2,258,2137,2395
267,9/24/2011,4,0,9,0,6,0,2,1776,3647,5423
268,9/25/2011,4,0,9,0,0,0,2,1544,3466,5010
269,9/26/2011,4,0,9,0,1,1,2,684,3946,4630
270,9/27/2011,4,0,9,0,2,1,2,477,3643,4120
271,9/28/2011,4,0,9,0,3,1,2,480,3427,3907
272,9/29/2011,4,0,9,0,4,1,1,653,4186,4839
273,9/30/2011,4,0,9,0,5,1,1,830,4372,5202
274,10/1/2011,4,0,10,0,6,0,2,480,1949,2429
275,10/2/2011,4,0,10,0,0,0,2,616,2302,2918
276,10/3/2011,4,0,10,0,1,1,2,330,3240,3570
277,10/4/2011,4,0,10,0,2,1,1,486,3970,4456
278,10/5/2011,4,0,10,0,3,1,1,559,4267,4826
279,10/6/2011,4,0,10,0,4,1,1,639,4126,4765
280,10/7/2011,4,0,10,0,5,1,1,949,4036,4985
281,10/8/2011,4,0,10,0,6,0,1,2235,3174,5409
282,10/9/2011,4,0,10,0,0,0,1,2397,3114,5511
283,10/10/2011,4,0,10,1,1,0,1,1514,3603,5117
284,10/11/2011,4,0,10,0,2,1,2,667,3896,4563
285,10/12/2011,4,0,10,0,3,1,3,217,2199,2416
286,10/13/2011,4,0,10,0,4,1,2,290,2623,2913
287,10/14/2011,4,0,10,0,5,1,2,529,3115,3644
288,10/15/2011,4,0,10,0,6,0,1,1899,3318,5217
289,10/16/2011,4,0,10,0,0,0,1,1748,3293,5041
290,10/17/2011,4,0,10,0,1,1,1,713,3857,4570
291,10/18/2011,4,0,10,0,2,1,2,637,4111,4748
292,10/19/2011,4,0,10,0,3,1,3,254,2170,2424
293,10/20/2011,4,0,10,0,4,1,1,471,3724,4195
294,10/21/2011,4,0,10,0,5,1,1,676,3628,4304
295,10/22/2011,4,0,10,0,6,0,1,1499,2809,4308
296,10/23/2011,4,0,10,0,0,0,1,1619,2762,4381
297,10/24/2011,4,0,10,0,1,1,1,699,3488,4187
298,10/25/2011,4,0,10,0,2,1,1,695,3992,4687
299,10/26/2011,4,0,10,0,3,1,2,404,3490,3894
300,10/27/2011,4,0,10,0,4,1,2,240,2419,2659
301,10/28/2011,4,0,10,0,5,1,2,456,3291,3747
302,10/29/2011,4,0,10,0,6,0,3,57,570,627
303,10/30/2011,4,0,10,0,0,0,1,885,2446,3331
304,10/31/2011,4,0,10,0,1,1,1,362,3307,3669
305,11/1/2011,4,0,11,0,2,1,1,410,3658,4068
306,11/2/2011,4,0,11,0,3,1,1,370,3816,4186
307,11/3/2011,4,0,11,0,4,1,1,318,3656,3974
308,11/4/2011,4,0,11,0,5,1,2,470,3576,4046
309,11/5/2011,4,0,11,0,6,0,1,1156,2770,3926
310,11/6/2011,4,0,11,0,0,0,1,952,2697,3649
311,11/7/2011,4,0,11,0,1,1,1,373,3662,4035
312,11/8/2011,4,0,11,0,2,1,1,376,3829,4205
313,11/9/2011,4,0,11,0,3,1,1,305,3804,4109
314,11/10/2011,4,0,11,0,4,1,2,190,2743,2933
315,11/11/2011,4,0,11,1,5,0,1,440,2928,3368
316,11/12/2011,4,0,11,0,6,0,1,1275,2792,4067
317,11/13/2011,4,0,11,0,0,0,1,1004,2713,3717
318,11/14/2011,4,0,11,0,1,1,1,595,3891,4486
319,11/15/2011,4,0,11,0,2,1,2,449,3746,4195
320,11/16/2011,4,0,11,0,3,1,3,145,1672,1817
321,11/17/2011,4,0,11,0,4,1,2,139,2914,3053
322,11/18/2011,4,0,11,0,5,1,1,245,3147,3392
323,11/19/2011,4,0,11,0,6,0,1,943,2720,3663
324,11/20/2011,4,0,11,0,0,0,2,787,2733,3520
325,11/21/2011,4,0,11,0,1,1,3,220,2545,2765
326,11/22/2011,4,0,11,0,2,1,3,69,1538,1607
327,11/23/2011,4,0,11,0,3,1,2,112,2454,2566
328,11/24/2011,4,0,11,1,4,0,1,560,935,1495
329,11/25/2011,4,0,11,0,5,1,1,1095,1697,2792
330,11/26/2011,4,0,11,0,6,0,1,1249,1819,3068
331,11/27/2011,4,0,11,0,0,0,1,810,2261,3071
332,11/28/2011,4,0,11,0,1,1,1,253,3614,3867
333,11/29/2011,4,0,11,0,2,1,2,96,2818,2914
334,11/30/2011,4,0,11,0,3,1,1,188,3425,3613
335,12/1/2011,4,0,12,0,4,1,1,182,3545,3727
336,12/2/2011,4,0,12,0,5,1,1,268,3672,3940
337,12/3/2011,4,0,12,0,6,0,1,706,2908,3614
338,12/4/2011,4,0,12,0,0,0,1,634,2851,3485
339,12/5/2011,4,0,12,0,1,1,2,233,3578,3811
340,12/6/2011,4,0,12,0,2,1,3,126,2468,2594
341,12/7/2011,4,0,12,0,3,1,3,50,655,705
342,12/8/2011,4,0,12,0,4,1,1,150,3172,3322
343,12/9/2011,4,0,12,0,5,1,1,261,3359,3620
344,12/10/2011,4,0,12,0,6,0,1,502,2688,3190
345,12/11/2011,4,0,12,0,0,0,1,377,2366,2743
346,12/12/2011,4,0,12,0,1,1,1,143,3167,3310
347,12/13/2011,4,0,12,0,2,1,1,155,3368,3523
348,12/14/2011,4,0,12,0,3,1,2,178,3562,3740
349,12/15/2011,4,0,12,0,4,1,2,181,3528,3709
350,12/16/2011,4,0,12,0,5,1,2,178,3399,3577
351,12/17/2011,4,0,12,0,6,0,2,275,2464,2739
352,12/18/2011,4,0,12,0,0,0,1,220,2211,2431
353,12/19/2011,4,0,12,0,1,1,1,260,3143,3403
354,12/20/2011,4,0,12,0,2,1,2,216,3534,3750
355,12/21/2011,1,0,12,0,3,1,2,107,2553,2660
356,12/22/2011,1,0,12,0,4,1,2,227,2841,3068
357,12/23/2011,1,0,12,0,5,1,1,163,2046,2209
358,12/24/2011,1,0,12,0,6,0,1,155,856,1011
359,12/25/2011,1,0,12,0,0,0,1,303,451,754
360,12/26/2011,1,0,12,1,1,0,1,430,887,1317
361,12/27/2011,1,0,12,0,2,1,2,103,1059,1162
362,12/28/2011,1,0,12,0,3,1,1,255,2047,2302
363,12/29/2011,1,0,12,0,4,1,1,254,2169,2423
364,12/30/2011,1,0,12,0,5,1,1,491,2508,2999
365,12/31/2011,1,0,12,0,6,0,1,665,1820,2485
366,1/1/2012,1,1,1,0,0,0,1,686,1608,2294
367,1/2/2012,1,1,1,1,1,0,1,244,1707,1951
368,1/3/2012,1,1,1,0,2,1,1,89,2147,2236
369,1/4/2012,1,1,1,0,3,1,2,95,2273,2368
370,1/5/2012,1,1,1,0,4,1,1,140,3132,3272
371,1/6/2012,1,1,1,0,5,1,1,307,3791,4098
372,1/7/2012,1,1,1,0,6,0,1,1070,3451,4521
373,1/8/2012,1,1,1,0,0,0,1,599,2826,3425
374,1/9/2012,1,1,1,0,1,1,2,106,2270,2376
375,1/10/2012,1,1,1,0,2,1,1,173,3425,3598
376,1/11/2012,1,1,1,0,3,1,2,92,2085,2177
377,1/12/2012,1,1,1,0,4,1,2,269,3828,4097
378,1/13/2012,1,1,1,0,5,1,1,174,3040,3214
379,1/14/2012,1,1,1,0,6,0,1,333,2160,2493
380,1/15/2012,1,1,1,0,0,0,1,284,2027,2311
381,1/16/2012,1,1,1,1,1,0,1,217,2081,2298
382,1/17/2012,1,1,1,0,2,1,2,127,2808,2935
383,1/18/2012,1,1,1,0,3,1,1,109,3267,3376
384,1/19/2012,1,1,1,0,4,1,1,130,3162,3292
385,1/20/2012,1,1,1,0,5,1,2,115,3048,3163
386,1/21/2012,1,1,1,0,6,0,2,67,1234,1301
387,1/22/2012,1,1,1,0,0,0,2,196,1781,1977
388,1/23/2012,1,1,1,0,1,1,2,145,2287,2432
389,1/24/2012,1,1,1,0,2,1,1,439,3900,4339
390,1/25/2012,1,1,1,0,3,1,1,467,3803,4270
391,1/26/2012,1,1,1,0,4,1,2,244,3831,4075
392,1/27/2012,1,1,1,0,5,1,2,269,3187,3456
393,1/28/2012,1,1,1,0,6,0,1,775,3248,4023
394,1/29/2012,1,1,1,0,0,0,1,558,2685,3243
395,1/30/2012,1,1,1,0,1,1,1,126,3498,3624
396,1/31/2012,1,1,1,0,2,1,1,324,4185,4509
397,2/1/2012,1,1,2,0,3,1,1,304,4275,4579
398,2/2/2012,1,1,2,0,4,1,2,190,3571,3761
399,2/3/2012,1,1,2,0,5,1,1,310,3841,4151
400,2/4/2012,1,1,2,0,6,0,2,384,2448,2832
401,2/5/2012,1,1,2,0,0,0,2,318,2629,2947
402,2/6/2012,1,1,2,0,1,1,1,206,3578,3784
403,2/7/2012,1,1,2,0,2,1,1,199,4176,4375
404,2/8/2012,1,1,2,0,3,1,2,109,2693,2802
405,2/9/2012,1,1,2,0,4,1,1,163,3667,3830
406,2/10/2012,1,1,2,0,5,1,2,227,3604,3831
407,2/11/2012,1,1,2,0,6,0,3,192,1977,2169
408,2/12/2012,1,1,2,0,0,0,1,73,1456,1529
409,2/13/2012,1,1,2,0,1,1,1,94,3328,3422
410,2/14/2012,1,1,2,0,2,1,2,135,3787,3922
411,2/15/2012,1,1,2,0,3,1,1,141,4028,4169
412,2/16/2012,1,1,2,0,4,1,2,74,2931,3005
413,2/17/2012,1,1,2,0,5,1,1,349,3805,4154
414,2/18/2012,1,1,2,0,6,0,1,1435,2883,4318
415,2/19/2012,1,1,2,0,0,0,2,618,2071,2689
416,2/20/2012,1,1,2,1,1,0,1,502,2627,3129
417,2/21/2012,1,1,2,0,2,1,1,163,3614,3777
418,2/22/2012,1,1,2,0,3,1,1,394,4379,4773
419,2/23/2012,1,1,2,0,4,1,1,516,4546,5062
420,2/24/2012,1,1,2,0,5,1,2,246,3241,3487
421,2/25/2012,1,1,2,0,6,0,1,317,2415,2732
422,2/26/2012,1,1,2,0,0,0,1,515,2874,3389
423,2/27/2012,1,1,2,0,1,1,1,253,4069,4322
424,2/28/2012,1,1,2,0,2,1,1,229,4134,4363
425,2/29/2012,1,1,2,0,3,1,2,65,1769,1834
426,3/1/2012,1,1,3,0,4,1,1,325,4665,4990
427,3/2/2012,1,1,3,0,5,1,2,246,2948,3194
428,3/3/2012,1,1,3,0,6,0,2,956,3110,4066
429,3/4/2012,1,1,3,0,0,0,1,710,2713,3423
430,3/5/2012,1,1,3,0,1,1,1,203,3130,3333
431,3/6/2012,1,1,3,0,2,1,1,221,3735,3956
432,3/7/2012,1,1,3,0,3,1,1,432,4484,4916
433,3/8/2012,1,1,3,0,4,1,1,486,4896,5382
434,3/9/2012,1,1,3,0,5,1,2,447,4122,4569
435,3/10/2012,1,1,3,0,6,0,1,968,3150,4118
436,3/11/2012,1,1,3,0,0,0,1,1658,3253,4911
437,3/12/2012,1,1,3,0,1,1,1,838,4460,5298
438,3/13/2012,1,1,3,0,2,1,1,762,5085,5847
439,3/14/2012,1,1,3,0,3,1,1,997,5315,6312
440,3/15/2012,1,1,3,0,4,1,1,1005,5187,6192
441,3/16/2012,1,1,3,0,5,1,2,548,3830,4378
442,3/17/2012,1,1,3,0,6,0,2,3155,4681,7836
443,3/18/2012,1,1,3,0,0,0,2,2207,3685,5892
444,3/19/2012,1,1,3,0,1,1,1,982,5171,6153
445,3/20/2012,1,1,3,0,2,1,1,1051,5042,6093
446,3/21/2012,2,1,3,0,3,1,2,1122,5108,6230
447,3/22/2012,2,1,3,0,4,1,1,1334,5537,6871
